,series id,year,period,value,date
0,CES3000000011,2009,December,918.26,2009-12-01
1,CES3000000011,2009,November,918.32,2009-11-01
2,CES3000000011,2009,October,908.62,2009-10-01
3,CES3000000011,2009,September,906.7,2009-09-01
4,CES3000000011,2009,August,903.99,2009-08-01
5,CES3000000011,2009,July,898.59,2009-07-01
6,CES3000000011,2009,June,890.87,2009-06-01
7,CES3000000011,2009,May,887.8,2009-05-01
8,CES3000000011,2009,April,891.65,2009-04-01
9,CES3000000011,2009,March,887.8,2009-03-01
10,CES3000000011,2009,February,893.49,2009-02-01
11,CES3000000011,2009,January,885.36,2009-01-01
12,CES3000000011,2008,December,884.83,2008-12-01
13,CES3000000011,2008,November,890.44,2008-11-01
14,CES3000000011,2008,October,890.87,2008-10-01
15,CES3000000011,2008,September,881.5,2008-09-01
16,CES3000000011,2008,August,886.98,2008-08-01
17,CES3000000011,2008,July,882.99,2008-07-01
18,CES3000000011,2008,June,887.6,2008-06-01
19,CES3000000011,2008,May,881.6,2008-05-01
20,CES3000000011,2008,April,875.2,2008-04-01
21,CES3000000011,2008,March,883.19,2008-03-01
22,CES3000000011,2008,February,873.2,2008-02-01
23,CES3000000011,2008,January,868.0,2008-01-01
24,CES3000000011,2007,December,873.38,2007-12-01
25,CES3000000011,2007,November,869.37,2007-11-01
26,CES3000000011,2007,October,860.64,2007-10-01
27,CES3000000011,2007,September,868.57,2007-09-01
28,CES3000000011,2007,August,866.96,2007-08-01
29,CES3000000011,2007,July,865.36,2007-07-01
30,CES3000000011,2007,June,864.16,2007-06-01
31,CES3000000011,2007,May,856.8,2007-05-01
32,CES3000000011,2007,April,859.34,2007-04-01
33,CES3000000011,2007,March,851.2,2007-03-01
34,CES3000000011,2007,February,847.34,2007-02-01
35,CES3000000011,2007,January,847.6,2007-01-01
36,CES3000000011,2006,December,849.47,2006-12-01
37,CES3000000011,2006,November,842.69,2006-11-01
38,CES3000000011,2006,October,847.2,2006-10-01
39,CES3000000011,2006,September,839.5,2006-09-01
40,CES3000000011,2006,August,835.11,2006-08-01
41,CES3000000011,2006,July,838.0,2006-07-01
42,CES3000000011,2006,June,835.28,2006-06-01
43,CES3000000011,2006,May,829.2,2006-05-01
44,CES3000000011,2006,April,829.83,2006-04-01
45,CES3000000011,2006,March,823.46,2006-03-01
46,CES5500000011,2009,December,984.91,2009-12-01
47,CES5500000011,2009,November,983.81,2009-11-01
48,CES5500000011,2009,October,983.56,2009-10-01
49,CES5500000011,2009,September,976.85,2009-09-01
50,CES5500000011,2009,August,973.56,2009-08-01
51,CES5500000011,2009,July,970.27,2009-07-01
52,CES5500000011,2009,June,967.98,2009-06-01
53,CES5500000011,2009,May,966.24,2009-05-01
54,CES5500000011,2009,April,961.48,2009-04-01
55,CES5500000011,2009,March,957.03,2009-03-01
56,CES5500000011,2009,February,963.74,2009-02-01
57,CES5500000011,2009,January,964.48,2009-01-01
58,CES5500000011,2008,December,959.95,2008-12-01
59,CES5500000011,2008,November,963.01,2008-11-01
60,CES5500000011,2008,October,963.31,2008-10-01
61,CES5500000011,2008,September,963.97,2008-09-01
62,CES5500000011,2008,August,961.48,2008-08-01
63,CES5500000011,2008,July,960.38,2008-07-01
64,CES5500000011,2008,June,954.89,2008-06-01
65,CES5500000011,2008,May,960.44,2008-05-01
66,CES5500000011,2008,April,956.36,2008-04-01
67,CES5500000011,2008,March,951.92,2008-03-01
68,CES5500000011,2008,February,951.19,2008-02-01
69,CES5500000011,2008,January,949.37,2008-01-01
70,CES5500000011,2007,December,948.67,2007-12-01
71,CES5500000011,2007,November,942.76,2007-11-01
72,CES5500000011,2007,October,941.34,2007-10-01
73,CES5500000011,2007,September,941.7,2007-09-01
74,CES5500000011,2007,August,941.72,2007-08-01
75,CES5500000011,2007,July,936.59,2007-07-01
76,CES5500000011,2007,June,942.82,2007-06-01
77,CES5500000011,2007,May,932.21,2007-05-01
78,CES5500000011,2007,April,921.65,2007-04-01
79,CES5500000011,2007,March,932.57,2007-03-01
80,CES5500000011,2007,February,924.55,2007-02-01
81,CES5500000011,2007,January,921.95,2007-01-01
82,CES5500000011,2006,December,925.52,2006-12-01
